"id_auto";"SANDRE";"auteur_apa";"cd_apa"
122949;"8123";"REF_OMNIDIA";"NRHT"
122951;"9428";"REF_OMNIDIA";"NRIP"
122953;"8125";"REF_OMNIDIA";"NROT"
122957;"8132";"REF_OMNIDIA";"NSHD"
122959;"8137";"REF_OMNIDIA";"NSCT"
122961;"8144";"REF_OMNIDIA";"NSRC"
122963;"8145";"REF_OMNIDIA";"NSUN"
122968;"8155";"REF_OMNIDIA";"NSTD"
122970;"8156";"REF_OMNIDIA";"NSTK"
122972;"8158";"REF_OMNIDIA";"NSTZ"
122976;"8161";"REF_OMNIDIA";"NSDL"
122978;"8165";"REF_OMNIDIA";"NSBD"
122980;"8174";"REF_OMNIDIA";"NSBR"
122983;"8175";"REF_OMNIDIA";"NSSE"
122985;"8186";"REF_OMNIDIA";"NTEX"
122987;"8187";"REF_OMNIDIA";"NTHI"
122991;"8192";"REF_OMNIDIA";"NTRV"
122996;"8199";"REF_OMNIDIA";"NULV"
123001;"8205";"REF_OMNIDIA";"NVAU"
123010;"8219";"REF_OMNIDIA";"NVUL"
123013;"8223";"REF_OMNIDIA";"NDPV"
123019;"8225";"REF_OMNIDIA";"NEAH"
123021;"8227";"REF_OMNIDIA";"NEAL"
123023;"8229";"REF_OMNIDIA";"NEAU"
123025;"8230";"REF_OMNIDIA";"NALP"
123027;"8231";"REF_OMNIDIA";"NAMJ"
123032;"8236";"REF_OMNIDIA";"NDSS"
123040;"8239";"REF_OMNIDIA";"NDUE"
123042;"8240";"REF_OMNIDIA";"NEHC"
123044;"8241";"REF_OMNIDIA";"NIDE"
123047;"8246";"REF_OMNIDIA";"NEIA"
123050;"8247";"REF_OMNIDIA";"NEIO"
123052;"8248";"REF_OMNIDIA";"NEIP"
123054;"8249";"REF_OMNIDIA";"NEAS"
123056;"8252";"REF_OMNIDIA";"NELD"
123058;"8254";"REF_OMNIDIA";"NEPE"
123060;"8256";"REF_OMNIDIA";"NPMI"
123068;"8257";"REF_OMNIDIA";"NETE"
123078;"6741";"REF_OMNIDIA";"NFBI"
123104;"8806";"REF_OMNIDIA";"NZAC"
123106;"8808";"REF_OMNIDIA";"NZCD"
123108;"8809";"REF_OMNIDIA";"NACI"
123111;"8813";"REF_OMNIDIA";"NACU"
123114;"8815";"REF_OMNIDIA";"NAES"
123116;"8816";"REF_OMNIDIA";"NAGW"
123122;"8819";"REF_OMNIDIA";"NZAL"
123134;"8830";"REF_OMNIDIA";"NZAG"
123137;"8831";"REF_OMNIDIA";"NAGF"
123140;"8834";"REF_OMNIDIA";"NZAT"
123147;"8839";"REF_OMNIDIA";"NBAV"
123149;"8840";"REF_OMNIDIA";"NBRG"
123152;"8841";"REF_OMNIDIA";"NBIL"
123155;"8843";"REF_OMNIDIA";"NIBB"
123158;"8854";"REF_OMNIDIA";"NCOM"
123160;"8860";"REF_OMNIDIA";"NCFI"
123167;"8874";"REF_OMNIDIA";"NDPU"
123172;"8877";"REF_OMNIDIA";"NDIP"
123174;"8878";"REF_OMNIDIA";"NDIV"
123176;"8880";"REF_OMNIDIA";"NDUB"
123183;"8884";"REF_OMNIDIA";"NEDT"
123187;"8890";"REF_OMNIDIA";"NFOG"
123189;"8893";"REF_OMNIDIA";"NFPE"
123192;"8895";"REF_OMNIDIA";"NIFS"
123206;"8909";"REF_OMNIDIA";"NZGA"
123208;"8910";"REF_OMNIDIA";"NGES"
123211;"8911";"REF_OMNIDIA";"NGIS"
123213;"8913";"REF_OMNIDIA";"NIGF"
123216;"8915";"REF_OMNIDIA";"NZGR"
123218;"8916";"REF_OMNIDIA";"NGRF"
123222;"8920";"REF_OMNIDIA";"NHAD"
123224;"8921";"REF_OMNIDIA";"NIHS"
123228;"8925";"REF_OMNIDIA";"NIHO"
123230;"8928";"REF_OMNIDIA";"NHOM"
123235;"8936";"REF_OMNIDIA";"NZIS"
123239;"8944";"REF_OMNIDIA";"NILA"
123242;"8945";"REF_OMNIDIA";"NLAV"
